ACTRT3	ENSG00000184378	CCDS3206	uc003ffs.3
ACVR1	ENSG00000115170	CCDS2206	uc010fog.3
ACVR1B	ENSG00000135503	CCDS44894, CCDS44893, CCDS8816	uc001rzn.4
ACVR1C	ENSG00000123612	CCDS46433, CCDS2205, CCDS46434, CCDS46432	uc002tzk.5
ACVR2A	ENSG00000121989	CCDS63030, CCDS33301	uc002twh.5
ACVR2B	ENSG00000114739	CCDS2679	uc003cif.4
ACVRL1	ENSG00000139567	CCDS31804	uc001rzj.4
ACY1	ENSG00000243989	CCDS2844, CCDS56261, CCDS56262, CCDS56263	uc003dcp.4
ACY3	ENSG00000132744	CCDS8175	uc001omq.3
ACYP1	ENSG00000119640	CCDS76706, CCDS9838	uc001xrg.4
ACYP2	ENSG00000170634	CCDS1850, CCDS82452	uc002rxq.5
ADA	ENSG00000196839	CCDS82618, CCDS13335	uc002xmj.4
ADA2	ENSG00000093072	CCDS74809, CCDS63395, CCDS13742, CCDS13743	uc062bga.1
ADAD1	ENSG00000164113	CCDS34058, CCDS54801, CCDS54800	uc003ieo.4
ADAD2	ENSG00000140955	CCDS45536, CCDS10944	uc002fhr.3
ADAL	ENSG00000168803	CCDS32214, CCDS81868, CCDS53936	uc059iit.1
ADAM2	ENSG00000104755	CCDS64882, CCDS64883, CCDS34884	uc003xnj.5
ADAM7	ENSG00000069206	CCDS6045	uc003xeb.4
ADAM8	ENSG00000151651	CCDS58103, CCDS58102, CCDS31319	uc021qbe.2
ADAM9	ENSG00000168615	CCDS6112	uc003xmr.4
ADAM10	ENSG00000137845	CCDS10167	uc002afd.3
ADAM11	ENSG00000073670	CCDS82139, CCDS11486	uc002ihh.4
ADAM12	ENSG00000148848	CCDS7654, CCDS7653	uc001ljk.4
ADAM15	ENSG00000143537	CCDS1084, CCDS60282, CCDS1085, CCDS44236, CCDS1088, CCDS1087, CCDS58032, CCDS58031, CCDS1086	uc001fgr.3
ADAM17	ENSG00000151694	CCDS1665	uc002qzu.5
ADAM18	ENSG00000168619	CCDS55225, CCDS6113, CCDS83287	uc003xni.4
ADAM19	ENSG00000135074	CCDS4338	uc003lwz.5
ADAM20	ENSG00000134007	CCDS32111	uc001xme.4
ADAM21	ENSG00000139985	CCDS9804	uc001xmd.4
ADAM22	ENSG00000008277	CCDS47637, CCDS43608, CCDS43609, CCDS43610	uc003ujn.4
ADAM23	ENSG00000114948	CCDS2369	uc002vbq.6
ADAM28	ENSG00000042980	CCDS34865, CCDS47830	uc003xdy.4
ADAM29	ENSG00000168594	CCDS3823	uc031shw.1
ADAM30	ENSG00000134249	CCDS907	uc001eij.4
ADAM32	ENSG00000197140	CCDS83286, CCDS47846	uc003xmt.5
ADAM33	ENSG00000149451	CCDS13058, CCDS63219	uc002wit.5
ADAMDEC1	ENSG00000134028	CCDS6044, CCDS55212	uc003xdz.2
ADAMTS1	ENSG00000154734	CCDS33524	uc002ymf.4
ADAMTS2	ENSG00000087116	CCDS4444, CCDS34311	uc003mjw.3
ADAMTS3	ENSG00000156140	CCDS3553	uc003hgk.2
ADAMTS4	ENSG00000158859	CCDS1223	uc001fyt.5
ADAMTS5	ENSG00000154736	CCDS13579	uc002ymg.4
ADAMTS6	ENSG00000049192	CCDS3983	uc003jtp.4
ADAMTS7	ENSG00000136378	CCDS32303	uc002bej.4
ADAMTS8	ENSG00000134917	CCDS41732	uc001qgg.5
ADAMTS9	ENSG00000163638	CCDS2903, CCDS82801	uc003dmg.4
ADAMTS10	ENSG00000142303	CCDS62529, CCDS12206	uc002mkj.3
ADAMTS12	ENSG00000151388	CCDS87292, CCDS34140, CCDS87293	uc003jia.3
ADAMTS13	ENSG00000160323	CCDS6972, CCDS6971, CCDS6970	uc004cdv.6
ADAMTS14	ENSG00000138316	CCDS7307, CCDS7306	uc001jrg.4
ADAMTS15	ENSG00000166106	CCDS8488	uc010scd.3
ADAMTS16	ENSG00000145536	CCDS43299	uc003jdl.4
ADAMTS17	ENSG00000140470	CCDS10383	uc002bvv.2
ADAMTS18	ENSG00000140873	CCDS10926	uc002ffc.4
ADAMTS19	ENSG00000145808	CCDS4146	uc003kvb.2
ADAMTS20	ENSG00000173157	CCDS31778	uc010skx.3
ADAMTSL1	ENSG00000178031	CCDS6485, CCDS47954	uc003zne.5
ADAMTSL2	ENSG00000197859	CCDS6976	uc011mdl.2
ADAMTSL3	ENSG00000156218	CCDS73773, CCDS10326	uc002bjz.5
ADAMTSL4	ENSG00000143382	CCDS72908, CCDS30852, CCDS955	uc001eux.5
